"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"1279","69554133109_10151002219718110","69554133109","Johnny Araya","2012-07-28T16:41:36+0000","2012-07-28","2012","07","28","28/07/12","7","Estamos iniciando la Asamblea del Partido Liberación Nacional para definir la fecha en que se realizará las próximas elecciones internas. Gracias a la oposición de muchos costarricenses, logramos evitar que la Convención del PLN, se realizara en el mes de marzo, coincidiendo con los Juegos Deportivos Centroamericanos, como lo pretendieron originalmente algunos y vamos a ratificar el mes de abril del próximo año.  Nuestro país no necesita adelantar procesos políticos, lo que requiere es que trabajemos para lograr avanzar.","photo","230","2","232","2.9%","4.7%","2.7%","3.5%","https://www.facebook.com/photo.php?fbid=10151002214898110&set=a.10151002214503110.436225.69554133109&type=1&relevant_count=2"
"2107","117011658390752_495571203868127","117011658390752","Otto Guevara Guth","2013-09-02T22:51:58+0000","2013-09-02","2013","09","02","02/09/13","2","Ya es hora del cambio.","video","189","43","232","2.9%","19.2%","2.7%","13.6%","https://www.facebook.com/photo.php?v=495571203868127"
"485","303450469784702_312821825514233","303450469784702","Dr. Rodolfo Hernández","2013-04-04T16:33:20+0000","2013-04-04","2013","04","04","04/04/13","5","Quiero agradecer y darle la bienvenida a mi equipo de trabajo al Lic. Roberto Suñol, quien en un acuerdo sincero por Costa Rica me ha dado su adhesión.","photo","209","23","232","2.9%","2.9%","2.7%","2.7%","https://www.facebook.com/photo.php?fbid=312821818847567&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"62","303450469784702_367806570015758","303450469784702","Dr. Rodolfo Hernández","2013-08-04T19:01:34+0000","2013-08-04","2013","08","04","04/08/13","1","Con la comunidad de Aguas Zarcas de San Carlos.","photo","227","5","232","2.9%","2.9%","2.7%","2.7%","https://www.facebook.com/photo.php?fbid=367806553349093&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"1287","69554133109_10150963963143110","69554133109","Johnny Araya","2012-07-10T01:04:37+0000","2012-07-10","2012","07","10","10/07/12","3","La semana anterior como parte de nuestro proyecto Foresta Urbana, se inició la siembra de 1500 árboles en el centro de San José. Queremos sembrar 50.000 árboles más en los próximos 5 años para que junto a otros esfuerzos, nos permita lograr la meta de ser Carbono Neutral en el 2021","photo","232","0","232","2.9%","4.7%","2.7%","3.5%","https://www.facebook.com/photo.php?fbid=10150963963058110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"29","303450469784702_375499519246463","303450469784702","Dr. Rodolfo Hernández","2013-08-22T17:34:18+0000","2013-08-22","2013","08","22","22/08/13","5","En casa de Natalia Gamboa, también se cansaron de votar por el PLN y están con nosotros","photo","226","5","231","2.9%","2.9%","2.7%","2.7%","https://www.facebook.com/photo.php?fbid=375499512579797&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"1264","69554133109_10151051398828110","69554133109","Johnny Araya","2012-08-20T19:07:06+0000","2012-08-20","2012","08","20","20/08/12","2","Este fin de semana hemos compartido con habitantes de diversos cantones de Limón: muchos jóvenes, adultos y adultos mayores que sienten la necesidad de que el PLN recupere sus raíces socialdemócratas y el país reafirme con más fuerza el valor de la solidaridad. ¡Estamos desempolvando las banderas históricas de Liberación Nacional!","photo","219","12","231","2.9%","4.7%","2.7%","3.5%","https://www.facebook.com/photo.php?fbid=10151051398763110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"604","69554133109_10151595032428110","69554133109","Johnny Araya","2013-07-10T15:10:53+0000","2013-07-10","2013","07","10","10/07/13","4","¡Quiero conocer sus ideas! En el siguiente link les explicamos la forma en que pueden hacerlo: 

https://www.johnnyaraya.cr/como-participar.php","photo","206","24","230","2.9%","4.7%","2.6%","3.5%","https://www.facebook.com/photo.php?fbid=10151595032373110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2647","113998707676_453278221410230","113998707676","José María Villalta Florez-Estrada","2013-02-27T17:54:24+0000","2013-02-27","2013","02","27","27/02/13","4","¡Nos vemos mañana a las 10am en el Parque Nacional!","link","207","23","230","2.9%","7.2%","2.6%","3.6%","https://www.facebook.com/events/538631266157774/"
"38","303450469784702_374138259382589","303450469784702","Dr. Rodolfo Hernández","2013-08-19T10:41:15+0000","2013-08-19","2013","08","19","19/08/13","2","NA","photo","229","1","230","2.9%","2.9%","2.6%","2.6%","https://www.facebook.com/photo.php?fbid=374138249382590&set=a.303454273117655.1073741827.303450469784702&type=1&relevant_count=1"
